id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,Rental unit in Boston · ★4.96 · 1 bedroom · 1 bed · 1 bath,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,29,24,2022-09-05,0.23,1,271,0,
5506,Guest suite in Boston · ★4.79 · 1 bedroom · 1 bed · 1 bath,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,135,3,122,2023-11-18,0.68,10,87,4,STR-490093
6695,Condo in Boston · ★4.81 · Studio · 2 beds · 1 bath,8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,179,3,127,2023-10-28,0.73,10,107,4,STR-491702
8789,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,91,91,27,2023-08-31,0.24,9,237,2,
10813,Rental unit in Boston · ★5.0 · Studio · 1 bed · 1 bath,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,86,32,5,2023-11-19,0.09,11,365,1,
10986,Condo in Boston · Studio · 1 bed · 1 bath,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,86,32,0,,,11,169,0,
18711,Rental unit in Boston · ★4.31 · 3 bedrooms · 3 beds · 1 bath,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,139,30,52,2023-08-19,0.31,27,245,1,
29765,Rental unit in Boston · ★4.97 · 1 bedroom · 1 bed · 1 bath,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,266,2,101,2023-09-13,0.61,1,2,1,STR-454024
40601,Home in Boston · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,29,98,2023-11-27,0.60,1,282,7,STR-461832
45987,Rental unit in Charlestown · ★4.65 · 1 bedroom · 1 bath,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,100,29,137,2023-08-08,0.84,1,87,2,STR-409822
47521,Home in Dorchester · ★4.45 · 3 bedrooms · 3 beds · 1.5 shared baths,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,55,1,333,2023-11-05,2.06,8,259,1,STR-492781
60029,Rental unit in Boston · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,144,2023-11-12,0.91,4,179,2,STR-415714
60356,Rental unit in Boston · ★4.84 · 1 bedroom · 1 bed · 1 bath,26988,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,100,32,19,2020-09-08,0.15,9,218,0,
67774,Condo in Boston · ★4.83 · 1 bedroom · 1 bed · 1 bath,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,105,91,48,2022-12-24,0.36,9,104,1,
77681,Rental unit in Boston · ★4.36 · 1 bedroom · 1 bed · 1 bath,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,29,71,2023-11-04,0.48,1,365,8,STR-415924
77691,Home in Boston · ★4.41 · 3 bedrooms · 3 beds · 1.5 baths,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,60,1,299,2022-07-22,1.92,8,229,0,STR-492781
163941,Condo in Boston · ★4.68 · 2 bedrooms · 3 beds · 1 bath,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,275,3,268,2023-11-20,1.78,10,139,19,STR-446659
179244,Home in Boston · ★4.43 · 1 bedroom · 1 bed · 1 private bath,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,71,1,109,2022-10-23,0.73,8,71,0,STR-457920
179245,Townhouse in Boston · ★4.49 · 2 bedrooms · 2 beds · 2 baths,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,65,1,64,2022-10-23,0.43,8,241,0,Exempt: This listing is a hotel or motel
184893,Bed and breakfast in Charlestown · 1 bedroom · 1 bed · 1 bath,887148,Dawn,,Charlestown,42.37823,-71.06778,Private room,328,4,0,,,3,90,0,STR-539322
197727,Condo in Boston · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,58,30,57,2023-10-31,0.38,1,77,5,
197972,Rental unit in Boston · ★4.87 · 1 bedroom · 1 bed · 1 bath,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,116,3,479,2023-11-26,3.23,2,74,22,STR-409453
205894,Home in Boston · ★4.44 · 3 bedrooms · 1 bed · 1.5 shared baths,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,62,1,216,2023-11-22,1.44,8,211,1,STR-457920
210097,Home in Boston · ★4.88 · Studio · 1 bed · 1 bath,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,139,29,289,2023-11-13,1.94,1,0,34,STR-414064
