id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40669,Condo in Jersey City · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73724,-74.0531,Private room,128,5,16,2023-12-09,0.10,1,0,6,
215768,Home in Jersey City · ★4.78 · 1 bedroom · 2 beds · 1 bath,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71438,-74.0581,Entire home/apt,157,3,177,2023-12-05,1.18,2,322,20,STR20-00055
254245,Home in Jersey City · ★4.76 · 1 bedroom · 1 bed · 1 bath,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.7116207886933,-74.06179163456633,Entire home/apt,156,3,127,2023-11-03,0.86,2,332,7,STR20-00055
269266,Rental unit in Jersey City · ★4.37 · 2 bedrooms · 3 beds · 1 bath,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71135,-74.06374,Entire home/apt,160,3,424,2023-11-26,2.88,12,310,20,
270245,Townhouse in Jersey City · ★4.56 · 1 bedroom · 1 bed · 1 private bath,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.7134,-74.06489,Private room,60,3,304,2023-11-26,2.08,12,296,26,
271255,Townhouse in Jersey City · ★4.42 · 1 bedroom · 3 beds · 1 private bath,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71161,-74.06327,Private room,89,2,361,2023-11-17,2.54,12,274,36,
508581,Rental unit in Jersey City · ★4.46 · 1 bedroom · 2 beds · 1 bath,2506890,Zachary,,Ward E (councilmember James Solomon),40.71987,-74.04472,Entire home/apt,139,28,58,2022-04-30,0.42,1,234,0,
675483,Townhouse in Jersey City · ★4.77 · 1 bedroom · 1 bed · 1 private bath,2259684,Leigh,,Ward E (councilmember James Solomon),40.72315,-74.04179,Private room,119,3,392,2023-12-12,2.86,1,43,30,STR22-119
810860,Rental unit in Jersey City · ★5.0 · 1 bedroom · 2 beds · 1 bath,3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72617,-74.06481,Entire home/apt,100,28,5,2023-05-26,0.09,1,239,1,
818075,Guest suite in Jersey City · ★4.94 · 2 bedrooms · 2 beds · 1 bath,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.74086,-74.04921,Entire home/apt,115,3,174,2023-12-19,1.32,1,153,17,
938292,Rental unit in Jersey City · ★4.74 · 1 bedroom · 3 beds · 1 bath,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire home/apt,89,29,19,2023-07-29,0.21,3,174,4,
946048,Rental unit in Jersey City · ★4.83 · 1 bedroom · 1 bed · 1 bath,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72398,-74.05023,Entire home/apt,80,29,23,2022-08-13,0.26,3,165,0,
971427,Rental unit in Jersey City · ★4.75 · 1 bedroom · 2 beds · 1 bath,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,175,5,322,2023-12-10,2.46,2,147,28,
1276863,Rental unit in Jersey City · ★4.78 · 2 bedrooms · 2 beds · 2 baths,6949940,Beata,,Ward E (councilmember James Solomon),40.7136,-74.03538,Entire home/apt,135,60,145,2019-09-13,1.14,1,82,0,
1280528,Townhouse in Jersey City · ★4.43 · 1 bedroom · 1 bed · 1 private bath,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.7129,-74.06473,Private room,77,2,293,2023-12-07,2.29,12,307,23,
1753670,Rental unit in Jersey City · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,9224138,Zainabe,,Ward B (councilmember Mira Prinz-Arey),40.72741,-74.06976,Private room,110,1,9,2023-12-04,0.68,1,363,6,
1897139,Serviced apartment in Jersey City · ★4.60 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,189,27,20,2018-08-26,0.17,24,359,0,
1897262,Serviced apartment in Jersey City · ★4.43 · 2 bedrooms · 2 beds · 2 baths,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,269,27,7,2017-09-02,0.07,24,363,0,
2104579,Home in Jersey City · ★4.41 · 1 bedroom · 1 bed · 1 shared bath,9192501,Sharlene,,Ward C (councilmember Richard Boggiano),40.73845,-74.04829,Private room,55,2,102,2023-12-20,0.84,1,0,28,
2106011,Rental unit in Jersey City · ★4.97 · 1 bedroom · 1 bed · 1 bath,327230,Nick,,Ward E (councilmember James Solomon),40.72318,-74.04906,Entire home/apt,175,1,30,2023-12-10,3.30,1,3,30,
2149271,Rental unit in Jersey City · ★4.77 · Studio · 1 bed · 1 bath,10969148,Colby,,Ward E (councilmember James Solomon),40.72508,-74.0512,Entire home/apt,170,15,30,2023-11-08,0.35,1,349,6,
2168009,Rental unit in Jersey City · ★5.0 · 2 bedrooms · 2 beds · 2 baths,11061879,Anatalie,,Ward D (councilmember Michael Yun),40.74822,-74.04853,Entire home/apt,225,1,5,2023-12-05,2.03,1,346,5,
2176306,Home in Jersey City · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.72146,-74.07424,Entire home/apt,149,3,214,2023-12-18,1.81,1,313,28,
2227861,Rental unit in Jersey City · ★4.98 · 2 bedrooms · 1 bed · 2 baths,11369577,Mat,,Ward E (councilmember James Solomon),40.72507,-74.04474,Private room,114,1,54,2023-12-17,0.78,1,14,22,
2243687,Serviced apartment in Jersey City · ★4.80 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,189,27,5,2016-06-24,0.04,24,359,0,
2243736,Serviced apartment in Jersey City · ★4.83 · 2 bedrooms · 3 beds · 2 baths,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,259,27,6,2020-01-01,0.06,24,365,0,
2662979,Townhouse in Jersey City · ★4.50 · 1 bedroom · 1 bed · 1 private bath,1410590,Magda,,Ward E (councilmember James Solomon),40.72469,-74.0497,Private room,54,29,366,2023-10-29,3.10,12,325,3,
2663502,Townhouse in Jersey City · ★4.55 · 1 bedroom · 1 bed · 1 private bath,1410590,Magda,,Ward E (councilmember James Solomon),40.72557,-74.05028,Private room,61,29,385,2023-12-06,3.26,12,300,3,
2879634,Rental unit in Jersey City · ★4.84 · 1 bedroom · 1 bed · 1 bath,14717157,Dana & Guy,,Ward F (councilmember Jermaine D. Robinson),40.71159,-74.06034,Entire home/apt,83,3,290,2023-12-19,2.77,1,0,28,STR20-00090
3050578,Townhouse in Jersey City · ★4.70 · 1 bedroom · 1 bed · 1 private bath,15530658,Tarik,,Ward A (councilmember Denise Ridley),40.70007,-74.08361,Private room,50,1,10,2018-08-19,0.15,1,88,0,
3193538,Rental unit in Jersey City · ★4.90 · Studio · 1 bath,16186604,Edward,,Ward E (councilmember James Solomon),40.71549,-74.03976,Entire home/apt,115,30,213,2023-09-26,2.13,1,351,6,
3487433,Loft in Jersey City · ★4.44 · 2 bedrooms · 4 beds · 1 bath,16038,Festive,,Ward E (councilmember James Solomon),40.71653,-74.039,Entire home/apt,375,28,9,2018-08-13,0.09,1,358,0,
3655301,Rental unit in Jersey City · ★4.62 · 1 bedroom · 3 beds · 1 bath,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.71948,-74.06778,Entire home/apt,79,29,398,2023-08-12,3.47,2,198,6,
3674016,Rental unit in Jersey City · ★4.46 · 1 bedroom · 2 beds · 1 bath,318287,Cindy,,Ward E (councilmember James Solomon),40.72728,-74.0408,Entire home/apt,176,1,161,2023-12-08,1.41,3,0,12,
4007369,Rental unit in Jersey City · ★4.48 · 3 bedrooms · 3 beds · 2 baths,19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71624,-74.07984,Entire home/apt,174,1,257,2023-11-12,2.33,1,0,30,
4218064,Home in Jersey City · ★4.0 · 1 bedroom · 1 bed · 1 bath,7658752,Darryl,,Ward A (councilmember Denise Ridley),40.69648183802508,-74.09768734121891,Private room,65,1,6,2023-12-06,2.86,2,0,6,
4384868,Serviced apartment in Jersey City · ★4.83 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,189,27,6,2023-12-02,0.06,24,361,2,
4531787,Rental unit in Jersey City · ★4.88 · 1 bedroom · 1 bed · 1 bath,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72277,-74.04957,Entire home/apt,97,29,24,2023-08-19,0.24,3,239,5,
4582869,Rental unit in Jersey City · ★4.86 · 1 bedroom · 1 bed · 1 bath,15356305,Jennifer,,Ward E (councilmember James Solomon),40.72459,-74.04352,Entire home/apt,163,2,258,2023-12-15,2.33,1,291,28,
5192752,Serviced apartment in Jersey City · ★4.55 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,199,27,11,2018-12-05,0.12,24,364,0,
5193707,Serviced apartment in Jersey City · ★4.40 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,Ward E (councilmember James Solomon),40.72455,-74.03591,Entire home/apt,189,27,5,2019-05-26,0.05,24,361,0,
5697589,Home in Jersey City · ★4.52 · 1 bedroom · 1 bed · 3 shared baths,6958867,Henry,,Ward E (councilmember James Solomon),40.72216,-74.05052,Private room,38,29,94,2023-08-30,0.89,29,61,8,
5706875,Home in Jersey City · ★4.64 · 1 bedroom · 1 bed · 3 shared baths,1410306,Eugene,,Ward E (councilmember James Solomon),40.72251,-74.04838,Private room,60,29,67,2023-08-14,0.63,26,80,5,
5759911,Home in Jersey City · ★4.49 · 1 bedroom · 1 bed · 3 shared baths,1410306,Eugene,,Ward E (councilmember James Solomon),40.72343,-74.04992,Private room,56,29,90,2022-12-24,0.85,26,80,1,
5772382,Home in Jersey City · ★4.48 · 1 bedroom · 1 bed · 3 shared baths,6958867,Henry,,Ward E (councilmember James Solomon),40.7223,-74.05005,Private room,52,29,117,2023-09-30,1.11,29,73,6,
5774113,Rental unit in Jersey City · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,27563833,Spontaneously Living,,Ward D (councilmember Michael Yun),40.74546,-74.04897,Private room,46,1,55,2023-10-03,0.53,3,167,5,
5989369,Home in Jersey City · ★5.0 · 1 bedroom · 2 beds · 1 bath,30560014,Moe,,Ward A (councilmember Denise Ridley),40.69823,-74.10447,Entire home/apt,150,1,24,2017-10-22,0.23,2,324,0,
