id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2441,Home in Minneapolis · ★4.80 · 1 bedroom · 1 bed · 1 bath,2680,Emily,,Hennepin,45.00862,-93.23424,Entire home/apt,118,2,311,2023-11-12,1.80,2,41,13,STR-111974
4534,Home in Minneapolis · ★4.88 · 2 bedrooms · 2 beds · 1 private bath,5811,Rachel,,Hennepin,44.94549,-93.35586,Private room,58,2,220,2023-11-26,1.33,2,271,11,
27319,Home in Minneapolis · ★4.78 · 2 bedrooms · 2 beds · 1 shared bath,117283,Keith,,Hennepin,44.92016,-93.22899,Private room,64,2,186,2023-09-24,1.16,2,359,5,Exempt
82439,Home in Minneapolis · ★4.97 · 2 bedrooms · 2 beds · 1 private bath,117283,Keith,,Hennepin,44.91995,-93.23011,Private room,64,2,61,2023-11-11,0.40,2,359,15,Exempt
166024,Home in Minneapolis · ★4.98 · 5 bedrooms · 5 beds · 4 baths,746911,Marcel,,Hennepin,44.98274,-93.36458,Entire home/apt,411,2,51,2023-11-16,1.49,1,267,16,
166927,Home in Minneapolis · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,795329,Shannyn,,Hennepin,45.01615,-93.31824,Private room,125,2,43,2016-01-21,0.31,1,10,0,
176709,Home in St Paul · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,688403,Delia,,Ramsey,44.97483,-93.19141,Private room,75,2,33,2023-09-23,0.25,3,358,4,20180004569
178017,Home in Minneapolis · ★4.78 · 1 bedroom · 2 beds · 1 bath,540710,Leticia,,Hennepin,44.9436,-93.24872,Entire home/apt,70,30,27,2023-01-02,0.24,1,235,1,STR-400618
195230,Guest suite in St Paul · ★4.87 · 1 bedroom · 3 beds · 1.5 baths,949211,Lydia,,Ramsey,44.94764,-93.1716,Private room,41,1,363,2023-12-08,5.08,2,143,56,20180002551
317499,Castle in Saint Paul · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,1233357,Sean,,Ramsey,44.96917,-93.11233,Private room,,1,275,2023-10-08,1.92,2,0,6,20170004727
